date,vehicle_category,maker,electric_vehicles_sold,state,total_vehicles_sold
01-Apr-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,398
01-Apr-22,2-Wheelers,OKAYA EV,0,Sikkim,361
01-May-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,113
01-Jun-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,98
01-Jul-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,229
01-Aug-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,244
01-Sep-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,458
01-Oct-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,452
01-Nov-21,2-Wheelers,OLA ELECTRIC,0,Sikkim,489
01-Apr-21,4-Wheelers,BYD India,0,Sikkim,408
01-Apr-21,4-Wheelers,PCA Automobiles,0,Sikkim,540
01-Apr-21,4-Wheelers,BMW India,0,Sikkim,355
01-Apr-21,4-Wheelers,Volvo Auto India,0,Sikkim,455
01-Apr-21,4-Wheelers,KIA Motors,0,Sikkim,345
01-Apr-22,4-Wheelers,PCA Automobiles,0,Sikkim,478
01-Apr-22,4-Wheelers,Volvo Auto India,0,Sikkim,351
01-Apr-22,4-Wheelers,KIA Motors,0,Sikkim,454
01-May-21,4-Wheelers,BYD India,0,Sikkim,394
01-May-21,4-Wheelers,PCA Automobiles,0,Sikkim,400
01-May-21,4-Wheelers,BMW India,0,Sikkim,270
01-May-21,4-Wheelers,Mercedes -Benz AG,0,Sikkim,384
01-May-21,4-Wheelers,Volvo Auto India,0,Sikkim,371
01-May-21,4-Wheelers,KIA Motors,0,Sikkim,460
01-May-22,4-Wheelers,PCA Automobiles,0,Sikkim,390
01-May-22,4-Wheelers,Volvo Auto India,0,Sikkim,455
01-May-22,4-Wheelers,KIA Motors,0,Sikkim,380
01-Jun-21,4-Wheelers,BYD India,0,Sikkim,461
01-Jun-21,4-Wheelers,PCA Automobiles,0,Sikkim,421
01-Jun-21,4-Wheelers,BMW India,0,Sikkim,429
01-Jun-21,4-Wheelers,Volvo Auto India,0,Sikkim,446
01-Jun-21,4-Wheelers,KIA Motors,0,Sikkim,409
01-Jun-22,4-Wheelers,PCA Automobiles,0,Sikkim,439
01-Jun-22,4-Wheelers,Volvo Auto India,0,Sikkim,394
01-Jun-22,4-Wheelers,KIA Motors,0,Sikkim,421
01-Jul-21,4-Wheelers,BYD India,0,Sikkim,443
01-Jul-21,4-Wheelers,PCA Automobiles,0,Sikkim,581
01-Jul-21,4-Wheelers,BMW India,0,Sikkim,371
01-Jul-21,4-Wheelers,Volvo Auto India,0,Sikkim,340
01-Jul-21,4-Wheelers,KIA Motors,0,Sikkim,431
01-Jul-22,4-Wheelers,PCA Automobiles,0,Sikkim,411
01-Jul-22,4-Wheelers,Volvo Auto India,0,Sikkim,274
01-Jul-22,4-Wheelers,KIA Motors,0,Sikkim,288
01-Aug-21,4-Wheelers,BYD India,0,Sikkim,470
01-Aug-21,4-Wheelers,PCA Automobiles,0,Sikkim,420
01-Aug-21,4-Wheelers,BMW India,0,Sikkim,324
01-Aug-21,4-Wheelers,Volvo Auto India,0,Sikkim,364
01-Aug-21,4-Wheelers,KIA Motors,0,Sikkim,454
01-Aug-22,4-Wheelers,PCA Automobiles,0,Sikkim,505
01-Aug-22,4-Wheelers,Volvo Auto India,0,Sikkim,465
01-Aug-22,4-Wheelers,KIA Motors,0,Sikkim,439
01-Sep-21,4-Wheelers,BYD India,0,Sikkim,507
01-Sep-21,4-Wheelers,PCA Automobiles,0,Sikkim,448
01-Sep-21,4-Wheelers,BMW India,0,Sikkim,517
01-Sep-21,4-Wheelers,Volvo Auto India,0,Sikkim,457
01-Sep-21,4-Wheelers,KIA Motors,0,Sikkim,423
01-Sep-22,4-Wheelers,PCA Automobiles,0,Sikkim,371
01-Sep-22,4-Wheelers,Volvo Auto India,0,Sikkim,465
01-Sep-22,4-Wheelers,KIA Motors,0,Sikkim,460
01-Oct-21,4-Wheelers,BYD India,0,Sikkim,546
01-Oct-21,4-Wheelers,PCA Automobiles,0,Sikkim,509
01-Oct-21,4-Wheelers,BMW India,0,Sikkim,398
01-Oct-21,4-Wheelers,Volvo Auto India,0,Sikkim,389
01-Oct-21,4-Wheelers,KIA Motors,0,Sikkim,470
01-Oct-22,4-Wheelers,PCA Automobiles,0,Sikkim,403
01-Oct-22,4-Wheelers,Volvo Auto India,0,Sikkim,365
01-Nov-21,4-Wheelers,BYD India,0,Sikkim,318
01-Nov-21,4-Wheelers,PCA Automobiles,0,Sikkim,509
01-Nov-21,4-Wheelers,BMW India,0,Sikkim,422
01-Nov-21,4-Wheelers,Volvo Auto India,0,Sikkim,408
01-Nov-21,4-Wheelers,KIA Motors,0,Sikkim,375
01-Nov-22,4-Wheelers,PCA Automobiles,0,Sikkim,399
01-Dec-21,4-Wheelers,PCA Automobiles,0,Sikkim,455
01-Dec-21,4-Wheelers,BMW India,0,Andaman & Nicobar Island,515
01-Dec-21,4-Wheelers,Volvo Auto India,0,Arunachal Pradesh,1256
01-Dec-21,4-Wheelers,KIA Motors,0,Arunachal Pradesh,724
01-Dec-22,4-Wheelers,PCA Automobiles,0,Assam,6576
01-Jan-22,4-Wheelers,PCA Automobiles,0,Chhattisgarh,1563
01-Jan-22,4-Wheelers,BMW India,0,DNH and DD,278
01-Jan-22,4-Wheelers,Volvo Auto India,0,Jammu and Kashmir,5107
01-Jan-22,4-Wheelers,KIA Motors,0,Ladakh,2
01-Jan-23,4-Wheelers,PCA Automobiles,0,Ladakh,20
01-Feb-22,4-Wheelers,PCA Automobiles,0,Manipur,808
01-Feb-22,4-Wheelers,BMW India,0,Meghalaya,1189
01-Feb-22,4-Wheelers,Volvo Auto India,0,Mizoram,1507
01-Feb-22,4-Wheelers,KIA Motors,0,Mizoram,281
01-Feb-23,4-Wheelers,PCA Automobiles,0,Nagaland,561
01-Mar-22,4-Wheelers,PCA Automobiles,0,Nagaland,747
01-Mar-22,4-Wheelers,KIA Motors,0,Puducherry,655
01-Apr-21,4-Wheelers,Tata Motors,322,Tripura,2906
01-Apr-21,4-Wheelers,MG Motor,118,Tripura,289
01-Apr-21,4-Wheelers,Mahindra & Mahindra,171,Andaman & Nicobar Island,4
01-Apr-21,4-Wheelers,Hyundai Motor,12,Andaman & Nicobar Island,1
01-Apr-21,4-Wheelers,Mercedes -Benz AG,3,Arunachal Pradesh,552
01-Apr-22,4-Wheelers,Tata Motors,1409,Arunachal Pradesh,302
01-Apr-22,4-Wheelers,MG Motor,177,Assam,14723
01-Apr-22,4-Wheelers,Mahindra & Mahindra,611,Assam,3295
01-Apr-22,4-Wheelers,BYD India,15,Bihar,2249
01-Apr-22,4-Wheelers,Hyundai Motor,17,Chandigarh,411
01-Apr-22,4-Wheelers,BMW India,12,Chhattisgarh,1387
01-Apr-22,4-Wheelers,Mercedes -Benz AG,8,DNH and DD,452
01-Apr-23,4-Wheelers,Tata Motors,364,DNH and DD,202
01-Apr-23,4-Wheelers,MG Motor,265,Delhi,22
01-Apr-23,4-Wheelers,Mahindra & Mahindra,4880,Delhi,21
01-Apr-23,4-Wheelers,BYD India,156,Jammu and Kashmir,2372
01-Apr-23,4-Wheelers,Hyundai Motor,42,Ladakh,11
01-Apr-23,4-Wheelers,PCA Automobiles,181,Ladakh,70
01-Apr-23,4-Wheelers,BMW India,51,Madhya Pradesh,195
01-Apr-23,4-Wheelers,Mercedes -Benz AG,8,Manipur,288
01-Apr-23,4-Wheelers,Volvo Auto India,27,Manipur,9
01-Apr-23,4-Wheelers,KIA Motors,30,Meghalaya,332
01-May-21,4-Wheelers,Tata Motors,137,Mizoram,15
01-May-21,4-Wheelers,MG Motor,39,Mizoram,4
01-May-21,4-Wheelers,Mahindra & Mahindra,78,Nagaland,125
01-May-21,4-Wheelers,Hyundai Motor,3,Nagaland,126
01-May-22,4-Wheelers,Tata Motors,2097,Odisha,722
01-May-22,4-Wheelers,MG Motor,181,Punjab,5202
01-May-22,4-Wheelers,Mahindra & Mahindra,622,Tripura,2063
01-May-22,4-Wheelers,BYD India,30,Tripura,192
01-May-22,4-Wheelers,Hyundai Motor,19,Uttarakhand,1145
01-May-22,4-Wheelers,BMW India,6,Andaman & Nicobar Island,2
01-May-22,4-Wheelers,Mercedes -Benz AG,4,Arunachal Pradesh,727
01-May-23,4-Wheelers,Tata Motors,3212,Arunachal Pradesh,565
01-May-23,4-Wheelers,MG Motor,351,Ladakh,3
01-May-23,4-Wheelers,Mahindra & Mahindra,3457,Ladakh,112
01-May-23,4-Wheelers,BYD India,110,Manipur,89
01-May-23,4-Wheelers,Hyundai Motor,129,Manipur,18
01-May-23,4-Wheelers,PCA Automobiles,245,Meghalaya,354
01-May-23,4-Wheelers,BMW India,57,Meghalaya,246
01-May-23,4-Wheelers,Mercedes -Benz AG,9,Mizoram,648
01-May-23,4-Wheelers,Volvo Auto India,34,Mizoram,298
01-May-23,4-Wheelers,KIA Motors,36,Nagaland,42
01-Jun-21,4-Wheelers,Tata Motors,572,Nagaland,54
01-Jun-21,4-Wheelers,MG Motor,128,Puducherry,445
01-Jun-21,4-Wheelers,Mahindra & Mahindra,106,Tripura,185
01-Jun-21,4-Wheelers,Hyundai Motor,10,Andaman & Nicobar Island,467
01-Jun-21,4-Wheelers,Mercedes -Benz AG,2,Arunachal Pradesh,994
01-Jun-22,4-Wheelers,Tata Motors,2169,Arunachal Pradesh,661
01-Jun-22,4-Wheelers,MG Motor,173,Assam,4988
01-Jun-22,4-Wheelers,Mahindra & Mahindra,787,DNH and DD,276
01-Jun-22,4-Wheelers,BYD India,36,Ladakh,51
01-Jun-22,4-Wheelers,Hyundai Motor,39,Ladakh,552
01-Jun-22,4-Wheelers,BMW India,4,Manipur,474
01-Jun-22,4-Wheelers,Mercedes -Benz AG,2,Manipur,68
01-Jun-23,4-Wheelers,Tata Motors,3671,Meghalaya,726
01-Jun-23,4-Wheelers,MG Motor,877,Mizoram,1096
01-Jun-23,4-Wheelers,Mahindra & Mahindra,2574,Mizoram,219
01-Jun-23,4-Wheelers,BYD India,140,Nagaland,583
01-Jun-23,4-Wheelers,Hyundai Motor,121,Nagaland,1039
01-Jun-23,4-Wheelers,PCA Automobiles,254,Puducherry,866
01-Jun-23,4-Wheelers,BMW India,76,Tripura,2211
01-Jun-23,4-Wheelers,Mercedes -Benz AG,14,Tripura,352
01-Jun-23,4-Wheelers,Volvo Auto India,33,Andaman & Nicobar Island,406
01-Jun-23,4-Wheelers,KIA Motors,30,Arunachal Pradesh,1126
01-Jul-21,4-Wheelers,Tata Motors,696,Arunachal Pradesh,758
01-Jul-21,4-Wheelers,MG Motor,232,DNH and DD,321
01-Jul-21,4-Wheelers,Mahindra & Mahindra,171,Himachal Pradesh,3641
01-Jul-21,4-Wheelers,Hyundai Motor,18,Jammu and Kashmir,5430
01-Jul-21,4-Wheelers,Mercedes -Benz AG,1,Ladakh,30
01-Jul-22,4-Wheelers,Tata Motors,2264,Ladakh,459
01-Jul-22,4-Wheelers,MG Motor,194,Manipur,1016
01-Jul-22,4-Wheelers,Mahindra & Mahindra,866,Manipur,561
01-Jul-22,4-Wheelers,BYD India,32,Meghalaya,1041
01-Jul-22,4-Wheelers,Hyundai Motor,45,Meghalaya,826
01-Jul-22,4-Wheelers,BMW India,4,Mizoram,1057
01-Jul-22,4-Wheelers,Mercedes -Benz AG,1,Mizoram,240
01-Jul-23,4-Wheelers,Tata Motors,3823,Nagaland,577
01-Jul-23,4-Wheelers,MG Motor,935,Nagaland,763
01-Jul-23,4-Wheelers,Mahindra & Mahindra,2174,Tripura,2462
01-Jul-23,4-Wheelers,BYD India,89,Tripura,462
01-Jul-23,4-Wheelers,Hyundai Motor,88,Andaman & Nicobar Island,329
01-Jul-23,4-Wheelers,PCA Automobiles,169,Andaman & Nicobar Island,87
01-Jul-23,4-Wheelers,BMW India,81,Arunachal Pradesh,1260
01-Jul-23,4-Wheelers,Mercedes -Benz AG,23,Arunachal Pradesh,637
01-Jul-23,4-Wheelers,Volvo Auto India,26,Assam,6036
01-Jul-23,4-Wheelers,KIA Motors,22,DNH and DD,348
01-Aug-21,4-Wheelers,Tata Motors,584,Ladakh,26
01-Aug-21,4-Wheelers,MG Motor,303,Ladakh,444
01-Aug-21,4-Wheelers,Mahindra & Mahindra,204,Manipur,3492
01-Aug-21,4-Wheelers,Hyundai Motor,10,Manipur,1202
01-Aug-21,4-Wheelers,Mercedes -Benz AG,2,Meghalaya,1396
01-Aug-22,4-Wheelers,Tata Motors,1931,Meghalaya,905
01-Aug-22,4-Wheelers,MG Motor,234,Mizoram,1465
01-Aug-22,4-Wheelers,Mahindra & Mahindra,1085,Mizoram,264
01-Aug-22,4-Wheelers,BYD India,33,Nagaland,681
01-Aug-22,4-Wheelers,Hyundai Motor,53,Tripura,2736
01-Aug-22,4-Wheelers,BMW India,19,Tripura,403
01-Aug-22,4-Wheelers,Mercedes -Benz AG,3,Andaman & Nicobar Island,360
01-Aug-23,4-Wheelers,Tata Motors,3388,Arunachal Pradesh,1109
01-Aug-23,4-Wheelers,MG Motor,913,Arunachal Pradesh,570
01-Aug-23,4-Wheelers,Mahindra & Mahindra,2013,Assam,5877
01-Aug-23,4-Wheelers,BYD India,80,Ladakh,289
01-Aug-23,4-Wheelers,Hyundai Motor,141,Manipur,916
01-Aug-23,4-Wheelers,PCA Automobiles,89,Meghalaya,1414
01-Aug-23,4-Wheelers,BMW India,64,Meghalaya,722
01-Aug-23,4-Wheelers,Mercedes -Benz AG,8,Mizoram,1886
01-Aug-23,4-Wheelers,Volvo Auto India,36,Mizoram,283
01-Aug-23,4-Wheelers,KIA Motors,21,Nagaland,650
01-Sep-21,4-Wheelers,Tata Motors,772,Nagaland,567
01-Sep-21,4-Wheelers,MG Motor,263,Puducherry,609
01-Sep-21,4-Wheelers,Mahindra & Mahindra,276,Tripura,3015
01-Sep-21,4-Wheelers,Hyundai Motor,6,Tripura,366
01-Sep-21,4-Wheelers,Mercedes -Benz AG,2,Andaman & Nicobar Island,413
01-Sep-22,4-Wheelers,Tata Motors,1997,Andaman & Nicobar Island,125
01-Sep-22,4-Wheelers,MG Motor,207,Arunachal Pradesh,1262
01-Sep-22,4-Wheelers,Mahindra & Mahindra,1213,Arunachal Pradesh,646
01-Sep-22,4-Wheelers,BYD India,48,Assam,5618
01-Sep-22,4-Wheelers,Hyundai Motor,57,DNH and DD,330
01-Sep-22,4-Wheelers,BMW India,21,Himachal Pradesh,4496
01-Sep-22,4-Wheelers,Mercedes -Benz AG,3,Jammu and Kashmir,4709
01-Sep-23,4-Wheelers,Tata Motors,3126,Ladakh,28
01-Sep-23,4-Wheelers,MG Motor,676,Ladakh,287
01-Sep-23,4-Wheelers,Mahindra & Mahindra,1668,Manipur,875
01-Sep-23,4-Wheelers,BYD India,141,Meghalaya,1442
01-Sep-23,4-Wheelers,Hyundai Motor,161,Meghalaya,806
01-Sep-23,4-Wheelers,PCA Automobiles,108,Mizoram,1820
01-Sep-23,4-Wheelers,BMW India,58,Mizoram,328
01-Sep-23,4-Wheelers,Mercedes -Benz AG,41,Nagaland,592
01-Sep-23,4-Wheelers,Volvo Auto India,42,Nagaland,692
01-Sep-23,4-Wheelers,KIA Motors,26,Tripura,3843
01-Oct-21,4-Wheelers,Tata Motors,803,Tripura,326
01-Oct-21,4-Wheelers,MG Motor,194,Andaman & Nicobar Island,376
01-Oct-21,4-Wheelers,Mahindra & Mahindra,369,Arunachal Pradesh,1036
01-Oct-21,4-Wheelers,Hyundai Motor,8,Arunachal Pradesh,709
01-Oct-21,4-Wheelers,Mercedes -Benz AG,3,Jammu and Kashmir,5306
01-Oct-22,4-Wheelers,Tata Motors,2395,Ladakh,15
01-Oct-22,4-Wheelers,MG Motor,338,Ladakh,167
01-Oct-22,4-Wheelers,Mahindra & Mahindra,1051,Manipur,849
01-Oct-22,4-Wheelers,BYD India,27,Meghalaya,1101
01-Oct-22,4-Wheelers,Hyundai Motor,64,Meghalaya,888
01-Oct-22,4-Wheelers,BMW India,4,Mizoram,1740
01-Oct-22,4-Wheelers,Mercedes -Benz AG,4,Mizoram,376
01-Oct-22,4-Wheelers,KIA Motors,29,Nagaland,353
01-Oct-23,4-Wheelers,Tata Motors,3911,Nagaland,540
01-Oct-23,4-Wheelers,MG Motor,714,Tripura,352
01-Oct-23,4-Wheelers,Mahindra & Mahindra,2027,Andaman & Nicobar Island,336
01-Oct-23,4-Wheelers,BYD India,109,Andaman & Nicobar Island,90
01-Oct-23,4-Wheelers,Hyundai Motor,148,Arunachal Pradesh,950
01-Oct-23,4-Wheelers,PCA Automobiles,132,Arunachal Pradesh,766
01-Oct-23,4-Wheelers,BMW India,71,Assam,5550
01-Oct-23,4-Wheelers,Mercedes -Benz AG,18,DNH and DD,358
01-Oct-23,4-Wheelers,Volvo Auto India,41,Jammu and Kashmir,3963
01-Oct-23,4-Wheelers,KIA Motors,39,Ladakh,150
01-Nov-21,4-Wheelers,Tata Motors,1036,Manipur,687
01-Nov-21,4-Wheelers,MG Motor,118,Meghalaya,1112
01-Nov-21,4-Wheelers,Mahindra & Mahindra,462,Meghalaya,1063
01-Nov-21,4-Wheelers,Hyundai Motor,7,Mizoram,1387
01-Nov-21,4-Wheelers,Mercedes -Benz AG,2,Mizoram,311
01-Nov-22,4-Wheelers,Tata Motors,2264,Nagaland,410
01-Nov-22,4-Wheelers,MG Motor,464,Nagaland,722
01-Nov-22,4-Wheelers,Mahindra & Mahindra,1067,Puducherry,758
01-Nov-22,4-Wheelers,BYD India,39,Tripura,394
01-Nov-22,4-Wheelers,Hyundai Motor,59,Andaman & Nicobar Island,388
01-Nov-22,4-Wheelers,BMW India,14,Andaman & Nicobar Island,112
01-Nov-22,4-Wheelers,Mercedes -Benz AG,4,Arunachal Pradesh,858
01-Nov-22,4-Wheelers,Volvo Auto India,5,Arunachal Pradesh,671
01-Nov-22,4-Wheelers,KIA Motors,61,Ladakh,15
01-Nov-23,4-Wheelers,Tata Motors,4432,Ladakh,44
01-Nov-23,4-Wheelers,MG Motor,723,Manipur,834
01-Nov-23,4-Wheelers,Mahindra & Mahindra,1222,Meghalaya,1145
01-Nov-23,4-Wheelers,BYD India,106,Mizoram,1599
01-Nov-23,4-Wheelers,Hyundai Motor,125,Mizoram,354
01-Nov-23,4-Wheelers,PCA Automobiles,98,Nagaland,504
01-Nov-23,4-Wheelers,BMW India,215,Nagaland,773
01-Nov-23,4-Wheelers,Mercedes -Benz AG,35,Puducherry,622
01-Nov-23,4-Wheelers,Volvo Auto India,57,Tripura,340
01-Nov-23,4-Wheelers,KIA Motors,29,Andaman & Nicobar Island,383
01-Dec-21,4-Wheelers,Tata Motors,1952,Arunachal Pradesh,1111
01-Dec-21,4-Wheelers,MG Motor,99,Arunachal Pradesh,679
01-Dec-21,4-Wheelers,Mahindra & Mahindra,552,Ladakh,49
01-Dec-21,4-Wheelers,BYD India,1,Ladakh,49
01-Dec-21,4-Wheelers,Hyundai Motor,10,Manipur,717
01-Dec-21,4-Wheelers,Mercedes -Benz AG,1,Meghalaya,1687
01-Dec-22,4-Wheelers,Tata Motors,1992,Meghalaya,1104
01-Dec-22,4-Wheelers,MG Motor,363,Mizoram,1848
01-Dec-22,4-Wheelers,Mahindra & Mahindra,1260,Mizoram,413
01-Dec-22,4-Wheelers,BYD India,37,Nagaland,541
01-Dec-22,4-Wheelers,Hyundai Motor,68,Nagaland,632
01-Dec-22,4-Wheelers,BMW India,27,Tripura,484
01-Dec-22,4-Wheelers,Mercedes -Benz AG,6,Andaman & Nicobar Island,407
01-Dec-22,4-Wheelers,Volvo Auto India,16,Arunachal Pradesh,1063
01-Dec-22,4-Wheelers,KIA Motors,65,Arunachal Pradesh,824
01-Dec-23,4-Wheelers,Tata Motors,4893,Ladakh,351
01-Dec-23,4-Wheelers,MG Motor,753,Ladakh,105
01-Dec-23,4-Wheelers,Mahindra & Mahindra,1015,Mizoram,1530
01-Dec-23,4-Wheelers,BYD India,135,Mizoram,323
01-Dec-23,4-Wheelers,Hyundai Motor,97,Nagaland,723
01-Dec-23,4-Wheelers,PCA Automobiles,40,Tripura,448
01-Dec-23,4-Wheelers,BMW India,137,Andaman & Nicobar Island,358
01-Dec-23,4-Wheelers,Mercedes -Benz AG,51,Andaman & Nicobar Island,110
01-Dec-23,4-Wheelers,Volvo Auto India,47,Arunachal Pradesh,1241
01-Dec-23,4-Wheelers,KIA Motors,23,Arunachal Pradesh,965
01-Jan-22,4-Wheelers,Tata Motors,1012,Ladakh,419
01-Jan-22,4-Wheelers,MG Motor,48,Ladakh,322
01-Jan-22,4-Wheelers,Mahindra & Mahindra,474,Manipur,644
01-Jan-22,4-Wheelers,BYD India,8,Meghalaya,1780
01-Jan-22,4-Wheelers,Hyundai Motor,6,Mizoram,397
01-Jan-22,4-Wheelers,Mercedes -Benz AG,2,Nagaland,630
01-Jan-23,4-Wheelers,Tata Motors,1812,Tripura,359
01-Jan-23,4-Wheelers,MG Motor,313,Andaman & Nicobar Island,423
01-Jan-23,4-Wheelers,Mahindra & Mahindra,967,Andaman & Nicobar Island,115
01-Jan-23,4-Wheelers,BYD India,101,Arunachal Pradesh,1253
01-Jan-23,4-Wheelers,Hyundai Motor,84,Arunachal Pradesh,1021
01-Jan-23,4-Wheelers,BMW India,91,Ladakh,310
01-Jan-23,4-Wheelers,Mercedes -Benz AG,14,Manipur,1029
01-Jan-23,4-Wheelers,Volvo Auto India,21,Mizoram,373
01-Jan-23,4-Wheelers,KIA Motors,35,Nagaland,594
01-Jan-24,4-Wheelers,Tata Motors,5674,Nagaland,735
01-Jan-24,4-Wheelers,MG Motor,908,Tripura,354
01-Jan-24,4-Wheelers,Mahindra & Mahindra,896,Andaman & Nicobar Island,385
01-Jan-24,4-Wheelers,BYD India,123,Andaman & Nicobar Island,127
01-Jan-24,4-Wheelers,Hyundai Motor,128,Arunachal Pradesh,1181
01-Jan-24,4-Wheelers,PCA Automobiles,23,DNH and DD,344
01-Jan-24,4-Wheelers,BMW India,116,Ladakh,314
01-Jan-24,4-Wheelers,Mercedes -Benz AG,29,Manipur,775
01-Jan-24,4-Wheelers,Volvo Auto India,42,Mizoram,319
01-Jan-24,4-Wheelers,KIA Motors,29,Nagaland,505
01-Feb-22,4-Wheelers,Tata Motors,1922,Nagaland,591
01-Feb-22,4-Wheelers,MG Motor,30,Tripura,402
01-Feb-22,4-Wheelers,Mahindra & Mahindra,478,Andaman & Nicobar Island,398
01-Feb-22,4-Wheelers,BYD India,10,Andaman & Nicobar Island,154
01-Feb-22,4-Wheelers,Hyundai Motor,6,Arunachal Pradesh,1244
01-Feb-22,4-Wheelers,Mercedes -Benz AG,3,Arunachal Pradesh,866
01-Feb-23,4-Wheelers,Tata Motors,2651,Ladakh,222
01-Feb-23,4-Wheelers,MG Motor,261,Manipur,623
01-Feb-23,4-Wheelers,Mahindra & Mahindra,1531,Meghalaya,1120
01-Feb-23,4-Wheelers,BYD India,174,Mizoram,408
01-Feb-23,4-Wheelers,Hyundai Motor,36,Nagaland,554
01-Feb-23,4-Wheelers,BMW India,43,Nagaland,844
01-Feb-23,4-Wheelers,Mercedes -Benz AG,12,Tripura,403
01-Feb-23,4-Wheelers,Volvo Auto India,26,Andaman & Nicobar Island,484
01-Feb-23,4-Wheelers,KIA Motors,22,Andaman & Nicobar Island,128
01-Feb-24,4-Wheelers,Tata Motors,5081,Arunachal Pradesh,1068
01-Feb-24,4-Wheelers,MG Motor,829,Arunachal Pradesh,931
01-Feb-24,4-Wheelers,Mahindra & Mahindra,712,Ladakh,30
01-Feb-24,4-Wheelers,BYD India,135,Ladakh,189
01-Feb-24,4-Wheelers,Hyundai Motor,94,Manipur,820
01-Feb-24,4-Wheelers,PCA Automobiles,64,Mizoram,379
01-Feb-24,4-Wheelers,BMW India,97,Nagaland,589
01-Feb-24,4-Wheelers,Mercedes -Benz AG,24,Nagaland,780
01-Feb-24,4-Wheelers,Volvo Auto India,35,Tripura,465
01-Feb-24,4-Wheelers,KIA Motors,17,Andaman & Nicobar Island,409
01-Mar-22,4-Wheelers,Tata Motors,2900,Andaman & Nicobar Island,144
01-Mar-22,4-Wheelers,MG Motor,75,Arunachal Pradesh,850
01-Mar-22,4-Wheelers,Mahindra & Mahindra,701,Arunachal Pradesh,741
01-Mar-22,4-Wheelers,BYD India,14,Ladakh,27
01-Mar-22,4-Wheelers,Hyundai Motor,14,Ladakh,264
01-Mar-22,4-Wheelers,BMW India,7,Manipur,596
01-Mar-22,4-Wheelers,Mercedes -Benz AG,5,Mizoram,362
01-Mar-22,4-Wheelers,Volvo Auto India,4,Nagaland,374
01-Mar-23,4-Wheelers,Tata Motors,5065,Nagaland,690
01-Mar-23,4-Wheelers,MG Motor,372,Tripura,416
01-Mar-23,4-Wheelers,Mahindra & Mahindra,2745,Arunachal Pradesh,1251
01-Mar-23,4-Wheelers,BYD India,348,Arunachal Pradesh,971
01-Mar-23,4-Wheelers,Hyundai Motor,35,Jammu and Kashmir,4102
01-Mar-23,4-Wheelers,PCA Automobiles,151,Ladakh,23
01-Mar-23,4-Wheelers,BMW India,40,Ladakh,244
